X,Y,OBJECTID,STOPID,STOPCODE,STOPNAME,STOPDESC,LOCATIONTYPE,STOPLAT,STOPLON,PARENTSTATION,MODE
1761347.312,5906230.1195,439403,6631-69c187e7,6631,Friesian Drive,,Stop,-36.97622,174.81273,,Bus
1771002.4118,5900634.2119,439404,6632-bd6dba9d,6632,Porchester Road,,Stop,-37.02493,174.92242,,Bus
1761058.2553,5906107.9806,439405,6633-eb5a5f08,6633,Duggan Avenue,,Stop,-36.97737,174.80951,,Bus
1761034.8163,5906092.8876,439406,6634-df32f210,6634,Duggan Avenue,,Stop,-36.97751,174.80925,,Bus
1760804.5902,5906067.292,439407,6635-d179f83a,6635,Pukaki Road,,Stop,-36.97778,174.80667,,Bus
1760767.7787,5906051.3421,439408,6636-3b7bea87,6636,Pukaki Road,,Stop,-36.97793,174.80626,,Bus
1760534.6593,5906107.9253,439409,6637-02d82a46,6637,Mascot Avenue,,Stop,-36.97746,174.80363,,Bus
1760512.4267,5906109.4563,439410,6638-c5bf0c6b,6638,Mascot Avenue,,Stop,-36.97745,174.80338,,Bus
1760262.3734,5906259.5822,439411,6639-ae49285a,6639,Plumley Crescent,,Stop,-36.97614,174.80054,,Bus
1760324.7144,5906212.8982,439412,6640-559c896e,6640,Plumley Crescent,,Stop,-36.97655,174.80125,,Bus
1760041.8858,5906278.1767,439413,6641-984d0d60,6641,Thomas Road,,Stop,-36.97601,174.79806,,Bus
1759944.4068,5906397.6635,439414,6642-99932c29,6642,Cornwall Road,,Stop,-36.97495,174.79694,,Bus
1760527.1807,5906606.4027,439415,6645-7897603a,6645,Nga Iwi School,,Stop,-36.97297,174.80344,,Bus
1760429.9771,5906740.3184,439416,6646-b2254da2,6646,Moana-Nui-a Kiwa Leisure Centre pools,,Stop,-36.97178,174.80232,,Bus
1759973.3847,5906376.029,439417,6647-d12824a7,6647,Cornwall Road,,Stop,-36.97514,174.79727,,Bus
1759739.2598,5906663.4622,439418,6648-ca4d81c9,6648,Jordan Road,,Stop,-36.97259,174.79458,,Bus
