room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
16898664,1467,112777870,Private room,,Auckland,,Epsom North,14,5.0,2,1.0,,57.0,,Stones Throw to Mount Eden,2017-07-19 00:48:59.954224,-36.880762,174.769428,0101000020E61000000E1478279FD865409FC728CFBC7042C0
5676103,1467,29430441,Private room,,Auckland,,Hobsonville East,0,0.0,3,1.0,,43.0,,Hobsonville Point Room,2017-07-19 00:48:59.951632,-36.794014,174.665715,0101000020E61000009D2E8B894DD5654077483140A26542C0
9216946,1467,38606819,Private room,,Auckland,,Orakei North,71,4.5,2,1.0,,49.0,,"Luxury B&B Harbour Views, Orakei",2017-07-19 00:48:59.936841,-36.854295,174.817097,0101000020E61000001C959BA825DA65407311DF89596D42C0
16291941,1467,106583133,Private room,,Auckland,,Waterview,14,5.0,2,1.0,,43.0,,"Sunny & Quiet with Guest Bathroom, Deck & Garden",2017-07-19 00:48:59.933947,-36.8847,174.700904,0101000020E610000057B439CE6DD66540B7627FD93D7142C0
15027476,1467,76602225,Private room,,Auckland,,Lucken Point,3,4.5,2,1.0,,53.0,,ParkView at Water Front/Ferry to City large room,2017-07-19 00:48:59.922162,-36.809002,174.64037,0101000020E6100000DDEA39E97DD465400533A6608D6742C0
17215801,1467,70892548,Private room,,Auckland,,Durham Green,0,0.0,2,1.0,,53.0,,Lovely cozy place!,2017-07-19 00:48:58.259927,-36.840811,174.652543,0101000020E61000007B87DBA1E1D46540FC8EE1B19F6B42C0
18256935,1467,111481839,Private room,,Auckland,,Mairangi Bay,2,0.0,2,1.0,,53.0,,'Fraserburg' Mairangi Bay Auckland,2017-07-19 00:48:58.253366,-36.738784,174.748773,0101000020E61000001764CBF2F5D765406F675F79905E42C0
13452922,1467,76852031,Private room,,Auckland,,Tangutu,7,5.0,2,1.0,,15.0,,Relaxing house with lots of green,2017-07-19 00:25:39.776776,-36.911861,174.635142,0101000020E61000001DCA501553D46540BABF7ADCB77442C0
17269782,1467,44003302,Private room,,Auckland,,Kelston Central,2,0.0,2,1.0,,22.0,,A House with a Great Garden,2017-07-19 00:25:39.772559,-36.89793,174.663353,0101000020E6100000831612303AD56540740CC85EEF7242C0
16799316,1467,8372079,Private room,,Auckland,,Henderson South,3,4.5,1,1.0,,36.0,,Home made bread an yogurt Single b,2017-07-19 00:25:39.763785,-36.887923,174.638921,0101000020E610000049F7730A72D46540E02EFB75A77142C0
13141861,1467,70267473,Private room,,Auckland,,Laingholm,22,4.5,2,1.0,,41.0,,Auckland Waitakere Escape - Private Room/Ensuite,2017-07-19 00:25:39.759450,-36.963314,174.632706,0101000020E6100000753FA7203FD46540B4E386DF4D7B42C0
17738970,1467,66862121,Private room,,Auckland,,Titirangi South,0,0.0,1,0.0,,27.0,,Paradise retreat near Auckland,2017-07-19 00:25:38.923302,-36.958973,174.650658,0101000020E61000002FDCB930D2D465409E5F94A0BF7A42C0
8995552,1467,46521475,Private room,,Auckland,,Fruitvale,0,0.0,1,1.0,,34.0,,Cosy single room,2017-07-19 00:25:38.919456,-36.918415,174.671856,0101000020E6100000E27327D87FD56540F3936A9F8E7542C0
13301590,1467,75128463,Private room,,Auckland,,Mcleod,1,0.0,2,1.0,,30.0,,Spacious and Homely,2017-07-19 00:25:38.895093,-36.877488,174.657244,0101000020E6100000C0AF912408D56540F450DB86517042C0
1085104,1467,5965458,Private room,,Auckland,,Kaurilands,4,5.0,2,1.0,,38.0,,♥♥♥Paradise in Titirangi ♥♥♥,2017-07-19 00:25:38.888238,-36.922804,174.656763,0101000020E610000022C7D63304D565401A4F04711E7642C0
17411208,1467,117739026,Private room,,Auckland,,Titirangi South,4,5.0,2,1.0,,40.0,,On top of the World,2017-07-19 00:25:38.885834,-36.951323,174.651844,0101000020E610000001C3F2E7DBD465406077BAF3C47942C0
15847932,1467,39098578,Private room,,Auckland,,Otimai,0,0.0,3,1.0,,34.0,,Just friends @ Gym and Pool near Piha,2017-07-19 00:25:37.131009,-36.926824,174.623406,0101000020E61000002AC423F1F2D36540EF92382BA27642C0
16677093,1467,110357456,Private room,,Auckland,,Tangutu,1,0.0,2,1.0,,39.0,,cosy in  west auckland,2017-07-19 00:25:37.128944,-36.921236,174.634403,0101000020E61000007F2F85074DD46540EDF2AD0FEB7542C0
18845710,1467,69720443,Private room,,Auckland,,Sunnyvale,0,0.0,2,1.0,,27.0,,Home away from home in Sunnyvale - double room,2017-07-19 00:25:37.121868,-36.895541,174.635604,0101000020E61000009E2633DE56D46540139D6516A17242C0
8198620,1467,6236476,Private room,,Auckland,,Kaurilands,10,4.5,3,1.0,,34.0,,Bed Room in Beautiful Bush House,2017-07-19 00:25:37.119728,-36.931342,174.65828,0101000020E61000008CF337A110D5654014B2F336367742C0
17670121,1467,120295233,Private room,,Auckland,,Fruitvale,0,0.0,1,3.0,,29.0,,Comfy and lovely room with a modern feel,2017-07-19 00:25:37.102308,-36.919841,174.667374,0101000020E61000006C06B8205BD565408D429259BD7542C0
16336225,1467,6074749,Private room,,Auckland,,New Lynn South,0,0.0,1,1.0,,22.0,,"Spacious & clean single room, close to trains/bus!",2017-07-19 00:25:36.151851,-36.910405,174.670155,0101000020E61000000708E6E871D56540B48EAA26887442C0
16814043,1467,19884827,Private room,,Auckland,,Laingholm,16,5.0,3,2.0,,36.0,,Rainforest Retreat - modern luxury in native bush,2017-07-19 00:25:36.139188,-36.958484,174.637095,0101000020E61000003EAE0D1563D46540A0DE8C9AAF7A42C0
19214974,1467,134477829,Private room,,Auckland,,Glendene South,2,0.0,2,1.0,,23.0,,Cozy rooms in quiet street. Friendly family & dog,2017-07-19 00:25:34.643862,-36.896296,174.656262,0101000020E610000071732A1900D565408FC4CBD3B97242C0
12013602,1467,64268581,Private room,,Auckland,,Kelston Central,0,0.0,2,1.0,,29.0,,West Auckland Gem,2017-07-19 00:25:34.639718,-36.895932,174.668377,0101000020E6100000C18C295863D565404EB857E6AD7242C0
10089050,1467,51768357,Private room,,Auckland,,Konini,18,5.0,2,1.0,,29.0,,Waitakere Views,2017-07-19 00:25:34.637663,-36.926871,174.636351,0101000020E6100000DCB8C5FC5CD465402F4E7CB5A37642C0
18686210,1467,78536749,Private room,,Auckland,,McLaren Park,0,0.0,4,0.0,,27.0,,Mile Place,2017-07-19 00:25:34.631995,-36.898649,174.618345,0101000020E6100000A514747BC9D36540A3CA30EE067342C0
17142238,1467,55488673,Private room,,Auckland,,Oratia,8,5.0,2,1.0,,30.0,,Home in the west of Auckland,2017-07-19 00:25:34.624110,-36.909713,174.628735,0101000020E610000038DBDC981ED465407FDFBF79717442C0
18760246,1467,5912156,Private room,,Auckland,,Parrs Park,0,0.0,2,1.0,,38.0,,Lion's accommodation in Auckland.,2017-07-19 00:25:34.620402,-36.901442,174.631522,0101000020E61000008B16A06D35D46540D49E9273627342C0
19741319,1467,40549692,Private room,,Auckland,,Kaurilands,0,0.0,2,1.0,,34.0,,Relaxing comfortable room in rainforest.,2017-07-19 00:25:34.616637,-36.931635,174.653049,0101000020E6100000F03504C7E5D465408C67D0D03F7742C0
18364155,1467,72570742,Private room,,Auckland,,Kaurilands,0,0.0,1,1.0,,30.0,,Peaceful retreat space,2017-07-19 00:25:33.733003,-36.936394,174.650863,0101000020E6100000A565A4DED3D46540D71533C2DB7742C0
17449177,1467,86956873,Private room,,Auckland,,Crum Park,2,0.0,2,1.0,,34.0,,"Spacious, sunny room in Titirangi",2017-07-19 00:25:33.728834,-36.932265,174.668079,0101000020E61000009F0436E760D565404C1AA375547742C0
16354688,1467,107097595,Private room,,Auckland,,Sunnyvale,10,5.0,2,1.0,,41.0,,"Private, spacious upstairs unit",2017-07-19 00:25:33.718239,-36.898612,174.649147,0101000020E61000007DE9EDCFC5D4654086E5CFB7057342C0
17835184,1467,121982313,Private room,,Auckland,,Tangutu,17,4.5,4,1.0,,34.0,,"Zahra's Place, private, peaceful & spacious.",2017-07-19 00:25:33.715496,-36.90887,174.639585,0101000020E61000006440F67A77D46540632827DA557442C0
